Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-21 17:34:59,MCD,largo,VBS_ADX,258.05,257.42,0.63,79.36508,50
2022-1-21 17:34:58,LOW,largo,VBS_ADX,228.595,227.55,1.045,47.84689,50
2022-1-21 17:34:58,NKE,largo,VBS_ADX,146.055,145.65,0.405,123.45679,50
2022-1-21 17:34:59,QCOM,largo,VBS_ADX,171.42,170.19,1.23,40.65041,50
2022-1-21 17:34:59,SBUX,largo,VBS_ADX,98.2,97.927,0.273,183.15018,50
2022-1-21 17:39:59,AMD,largo,VBS_ADX,123.9,122.6,1.3,38.46154,50
2022-1-21 17:39:58,MCD,largo,VBS_ADX,257.415,256.78,0.635,78.74016,50
2022-1-21 17:39:58,LVS,largo,VBS_ADX,44.78,44.425,0.355,140.84507,50
2022-1-21 17:39:59,LOW,largo,VBS_ADX,228.4199,227.3,1.1199,44.64684,50
2022-1-21 17:39:59,NKE,largo,VBS_ADX,145.898,145.11,0.788,63.45178,50
2022-1-21 17:44:58,NKE,largo,VBS_ADX,145.27,144.98,0.29,172.41379,50
2022-1-21 17:49:59,TGT,largo,VBS_ADX,219.94,218.97,0.97,51.54639,50
2022-1-21 17:54:57,TGT,largo,VBS_ADX,219.34,218.55,0.79,63.29114,50
2022-1-21 18:04:58,LVS,largo,VBS_ADX,44.64,44.48,0.16,312.5,50
2022-1-21 19:19:59,GLD,Corto,VBS_ADX,171.055,171.14,0.085,588.23529,50
2022-1-21 19:44:59,GLD,Corto,VBS_ADX,171.015,171.09,0.075,666.66667,50
2022-1-21 19:49:58,GLD,Corto,VBS_ADX,171.04,171.09,0.05,1000,50
2022-1-21 19:54:59,GLD,Corto,VBS_ADX,171.075,171.15,0.075,666.66667,50
2022-1-21 20:19:59,NUGT,Corto,VBS_ADX,49.69,49.79,0.1,500,50
2022-1-21 20:44:59,NUGT,Corto,VBS_ADX,49.52,49.63,0.11,454.54545,50
2022-1-21 20:49:59,NUGT,Corto,VBS_ADX,49.72,49.7767,0.0567,881.83422,50
2022-1-21 21:14:59,UAL,Corto,VBS_ADX,41.55,41.67,0.12,416.66667,50
2022-1-21 21:24:58,NUGT,Corto,VBS_ADX,49.1772,49.28,0.1028,486.38132,50
2022-1-21 21:35:00,NKE,Corto,VBS_ADX,143.06,143.3744,0.3144,159.03308,50
2022-1-21 21:39:58,AMAT,Corto,VBS_ADX,136.05,136.5,0.45,111.11111,50
2022-1-21 21:39:59,BABA,Corto,VBS_ADX,123.02,123.235,0.215,232.55814,50
2022-1-21 21:39:59,GLD,Corto,VBS_ADX,170.765,170.91,0.145,344.82759,50
2022-1-21 21:39:59,NUGT,Corto,VBS_ADX,49.17,49.35,0.18,277.77778,50
2022-1-21 21:39:59,UBER,Corto,VBS_ADX,36.115,36.345,0.23,217.3913,50
2022-1-21 21:39:59,WYNN,Corto,VBS_ADX,85.2101,85.53,0.3199,156.29884,50
2022-1-21 21:49:58,NKE,Corto,VBS_ADX,143.32,143.7699,0.4499,111.13581,50
2022-1-24 18:00:07,NUGT,Corto,VBS_ADX,46.37,46.5512,0.1812,275.93819,50
2022-1-24 18:00:12,SPXL,Corto,VBS_ADX,101.679,102.4,0.721,69.34813,50
2022-1-24 18:00:09,WYNN,Corto,VBS_ADX,79.655,80.11,0.455,109.89011,50
2022-1-24 18:05:03,MU,Corto,VBS_ADX,78.73,79.1,0.37,135.13514,50
2022-1-24 18:05:03,WMT,Corto,VBS_ADX,137.835,137.99,0.155,322.58065,50
2022-1-24 18:25:04,TGT,Corto,VBS_ADX,212.2401,213.15,0.9099,54.95109,50
2022-1-24 18:25:03,WMT,Corto,VBS_ADX,137.78,138.08,0.3,166.66667,50
2022-1-24 18:40:05,AMD,Corto,VBS_ADX,108.51,109.29,0.78,64.10256,50
2022-1-24 18:40:04,DIS,Corto,VBS_ADX,129.77,130.1499,0.3799,131.61358,50
2022-1-24 18:50:03,AAPL,Corto,VBS_ADX,156.42,156.96,0.54,92.59259,50
2022-1-24 18:50:04,MU,Corto,VBS_ADX,78.36,78.62,0.26,192.30769,50
2022-1-24 18:50:04,QCOM,Corto,VBS_ADX,160.295,161.08,0.785,63.69427,50
2022-1-24 18:50:04,SPXL,Corto,VBS_ADX,100.71,101.39,0.68,73.52941,50
2022-1-24 18:50:04,UAL,Corto,VBS_ADX,39.0046,39.16,0.1554,321.75032,50
2022-1-24 18:50:03,WYNN,Corto,VBS_ADX,79.34,79.69,0.35,142.85714,50
2022-1-24 18:55:04,MCD,Corto,VBS_ADX,248.66,249.36,0.7,71.42857,50
2022-1-24 18:55:05,MU,Corto,VBS_ADX,78.44,79.13,0.69,72.46377,50
2022-1-24 18:55:03,QCOM,Corto,VBS_ADX,160.77,162.02,1.25,40,50
2022-1-24 18:55:03,UAL,Corto,VBS_ADX,39.13,39.325,0.195,256.41026,50
2022-1-24 19:30:05,MSFT,largo,VBS_ADX,287.91,286.15,1.76,28.40909,50
2022-1-24 19:45:03,JPM,largo,VBS_ADX,142.744,142.2,0.544,91.91176,50
2022-1-24 19:50:04,GLD,largo,VBS_ADX,172.05,171.99,0.06,833.33333,50
2022-1-24 20:15:04,AAPL,largo,VBS_ADX,159.17,157.97,1.2,41.66667,50
2022-1-24 20:15:04,LOW,largo,VBS_ADX,228.51,226.7,1.81,27.62431,50
2022-1-24 20:15:03,SPXL,largo,VBS_ADX,107.2599,105.61,1.6499,30.30487,50
2022-1-24 20:15:04,TGT,largo,VBS_ADX,218.09,216.72,1.37,36.49635,50
2022-1-24 20:20:05,AAPL,largo,VBS_ADX,158.51,157.77,0.74,67.56757,50
2022-1-24 20:20:04,LOW,largo,VBS_ADX,226.95,226.2,0.75,66.66667,50
2022-1-24 20:20:04,SPXL,largo,VBS_ADX,106.11,105.16,0.95,52.63158,50
2022-1-24 20:20:04,TGT,largo,VBS_ADX,217.03,216.18,0.85,58.82353,50
2022-1-24 20:20:04,UBER,largo,VBS_ADX,35.56,35.35,0.21,238.09524,50
2022-1-24 20:25:04,JPM,largo,VBS_ADX,142.61,142.06,0.55,90.90909,50
2022-1-24 20:25:05,MSFT,largo,VBS_ADX,289.43,287.05,2.38,21.0084,50
2022-1-24 20:25:04,LOW,largo,VBS_ADX,226.69,225.955,0.735,68.02721,50
2022-1-24 20:25:04,MU,largo,VBS_ADX,81.0306,80.39,0.6406,78.05183,50
2022-1-24 20:25:03,SBUX,largo,VBS_ADX,97.375,96.9,0.475,105.26316,50
2022-1-24 20:25:05,SPXL,largo,VBS_ADX,105.97,104.15,1.82,27.47253,50
2022-1-24 20:25:03,TGT,largo,VBS_ADX,216.84,215.59,1.25,40,50
2022-1-24 20:25:03,UAL,largo,VBS_ADX,40.54,40.295,0.245,204.08163,50
2022-1-24 20:25:03,UBER,largo,VBS_ADX,35.5599,35.18,0.3799,131.61358,50
2022-1-24 20:30:04,LOW,largo,VBS_ADX,226.6533,225.955,0.6983,71.60246,50
2022-1-24 20:30:04,MU,largo,VBS_ADX,80.68,80.31,0.37,135.13514,50
2022-1-24 20:30:07,SBUX,largo,VBS_ADX,97.1,96.76,0.34,147.05882,50
2022-1-24 20:30:04,UAL,largo,VBS_ADX,40.435,40.3,0.135,370.37037,50
2022-1-24 20:30:07,UBER,largo,VBS_ADX,35.26,35.11,0.15,333.33333,50
2022-1-24 20:45:04,WYNN,largo,VBS_ADX,82.8592,82.59,0.2692,185.73551,50
2022-1-24 21:45:05,MU,largo,VBS_ADX,82.5,81.69,0.81,61.7284,50
2022-1-24 21:45:04,UBER,largo,VBS_ADX,35.855,35.7,0.155,322.58065,50
2022-1-24 21:50:04,MU,largo,VBS_ADX,82.35,81.77,0.58,86.2069,50
2022-1-24 21:50:05,QCOM,largo,VBS_ADX,169.39,168.57,0.82,60.97561,50
2022-1-25 15:50:01,BABA,largo,VBS_ADX,121.16,120.45,0.71,70.42254,50
2022-1-25 15:54:58,BABA,largo,VBS_ADX,120.99,119.8,1.19,42.01681,50
